Size (bp),A2,A3,A4,A5
8548.82,6.94,2.56,0.30,0.18
8575.65,7.15,2.86,0.59,0.00
8602.48,7.16,2.87,1.63,0.00
8629.31,6.54,2.88,2.66,0.00
8656.14,5.92,2.85,3.72,0.00
8682.97,5.01,2.83,4.77,0.00
8709.80,4.09,2.90,5.66,0.14
8736.63,3.49,2.97,5.50,0.29
8763.46,2.89,3.06,5.34,0.43
8790.29,2.54,2.79,5.16,0.84
8817.12,2.61,2.51,4.98,1.24
8843.95,2.67,1.87,5.00,1.44
8870.78,2.83,1.23,5.01,1.63
8897.61,2.98,0.91,4.83,1.40
8924.44,3.11,0.59,4.65,1.17
8951.27,3.24,1.17,4.13,0.94
8978.10,3.39,1.76,3.62,0.47
9004.93,3.54,3.53,2.96,0.00
9031.76,4.02,3.70,3.21,0.00
9058.59,4.19,3.86,3.45,0.00
9085.42,4.36,3.20,3.84,0.21
9112.25,4.35,2.55,4.23,0.41
9139.08,4.35,1.78,4.15,0.28
9165.91,4.48,1.01,4.07,0.14
9192.74,4.61,0.31,3.64,0.00
9219.57,5.30,0.31,3.21,0.00
9246.40,5.51,0.31,2.97,0.00
9273.23,5.71,0.39,2.73,1.40
9300.06,5.88,0.48,3.01,2.79
9326.89,6.05,0.53,3.15,4.38
9353.72,6.48,0.58,3.30,5.96
9380.55,6.91,0.57,2.92,7.55
9407.38,7.58,0.55,2.55,9.01
9434.21,7.46,0.56,1.76,10.47
9461.04,7.35,0.78,0.97,9.87
9487.87,7.24,1.00,0.51,9.27
9514.70,7.13,1.39,0.06,7.14
9541.53,7.35,1.78,0.49,5.02
9568.36,7.56,2.27,0.97,3.77
9595.19,7.37,2.76,1.44,2.53
9622.02,7.18,3.31,1.86,1.29
9648.85,4.63,3.87,2.27,1.01
9675.68,3.00,4.13,2.73,0.74
9702.51,1.36,3.47,3.19,1.30
9729.34,0.68,2.82,3.67,1.86
9756.17,0.00,1.91,4.16,1.65
9783.00,0.23,1.00,4.31,1.44
9809.83,0.46,0.50,4.47,0.96
9836.67,1.97,0.00,3.68,0.48
9863.50,2.42,0.04,3.09,0.00
9890.33,2.88,0.07,2.49,0.00
9917.16,3.07,1.04,2.44,0.00
9943.99,3.26,1.68,2.38,3.05
9970.82,3.42,2.31,3.16,6.10
9997.65,3.58,2.73,3.94,8.78
10024.48,3.39,3.15,4.84,11.45
10051.31,3.20,3.42,5.74,14.13
10078.14,2.03,3.68,5.84,18.49
10104.97,1.62,3.80,5.95,22.86
10131.80,1.21,3.92,4.78,26.60
10158.63,1.06,3.29,4.12,30.33
10185.46,0.92,2.84,3.46,31.96
10212.29,0.73,2.38,2.84,33.58
10239.12,0.55,2.46,2.23,32.95
10265.95,0.26,2.53,1.58,32.31
10292.78,0.13,2.85,0.94,31.68
10319.61,0.00,3.17,0.53,29.51
10346.44,0.00,2.89,0.13,27.33
10373.27,0.00,2.62,0.06,25.93
10400.10,0.00,1.05,0.00,24.53
10426.93,0.00,0.53,0.22,24.51
10453.76,0.00,0.00,0.65,24.48
10480.59,0.00,0.17,1.08,24.46
10507.42,0.00,0.35,1.79,24.41
10534.25,0.00,1.23,2.50,24.36
10561.08,0.00,2.12,2.85,23.06
10587.91,0.00,3.09,3.19,21.76
10614.74,0.00,4.06,2.79,19.91
10641.57,0.00,4.56,2.38,18.07
10668.40,0.00,3.92,1.89,17.33
10695.23,0.00,3.27,1.40,16.60
10722.06,0.00,2.24,1.71,15.87
10748.89,0.00,1.20,2.19,15.52
10775.72,0.00,0.60,2.67,15.16
10802.55,0.00,0.00,2.71,14.82
10829.38,0.00,0.22,2.76,14.48
10856.21,0.00,0.44,2.30,13.98
10883.04,0.00,1.92,1.84,13.48
10909.87,0.00,2.43,1.27,13.22
10936.70,0.00,2.94,0.70,12.96
10963.53,0.00,2.93,0.35,12.71
10990.36,0.00,2.92,0.00,12.60
11017.19,0.00,2.51,0.08,12.50
11044.02,0.00,2.10,0.36,12.35
11070.85,0.00,1.52,0.64,12.21
11097.68,0.00,0.95,0.76,11.68
11124.51,0.00,0.00,0.87,11.14
11151.34,0.00,0.00,0.80,10.61
11178.17,0.00,0.00,0.72,9.10
11205.00,0.00,0.00,0.79,7.59
11231.83,0.00,0.00,0.86,5.97
11258.66,0.00,0.00,1.39,4.36
11285.49,0.00,0.00,1.58,3.07
11312.32,0.00,0.00,1.77,1.78
11339.15,0.00,0.00,1.91,1.24
11365.98,0.00,0.00,2.05,0.71
11392.81,0.00,0.00,2.42,0.18
11419.64,0.00,0.00,2.80,0.09
11446.47,0.00,0.00,3.19,0.00
11473.30,0.00,0.00,3.58,0.28
11500.13,0.00,0.00,3.52,0.56
11526.96,0.00,0.00,3.47,0.74
11553.79,0.00,0.00,2.91,0.91
11580.62,0.00,0.00,2.77,1.09
11607.45,0.00,0.00,2.62,0.98
11634.28,0.00,0.00,2.35,0.88
11661.11,0.00,0.00,2.08,0.54
11687.94,0.00,0.00,1.50,0.19
11714.77,0.00,0.00,0.92,0.10
11741.60,0.00,0.00,0.46,0.00
11768.43,0.00,0.00,0.00,0.00
11795.26,0.00,0.00,0.00,0.00
11822.09,0.00,0.00,0.00,0.00
11848.92,0.00,0.00,0.00,0.80
11875.75,0.00,0.00,0.00,1.60
11902.58,0.00,0.00,0.00,2.74
11929.42,0.00,0.00,0.00,3.88
11956.25,0.00,0.00,0.00,4.54
11983.08,0.00,0.00,0.00,5.20
12009.91,0.00,0.00,0.00,5.06
12036.74,0.00,0.00,0.00,4.91
12063.57,0.00,0.00,0.00,4.76
12090.40,0.00,0.00,0.00,4.04
12117.23,0.00,0.00,0.00,3.32
12144.06,0.00,0.00,0.00,2.72
12170.89,0.00,0.00,0.00,2.11
12197.72,0.00,0.00,0.00,2.05
12224.55,0.00,0.00,0.00,1.99
12251.38,0.00,0.00,0.00,1.94
12278.21,0.00,0.00,0.00,2.41
12305.04,0.00,0.00,0.00,2.88
12331.87,0.00,0.00,0.00,3.40
12358.70,0.00,0.00,0.00,3.93
12385.53,0.00,0.00,0.00,3.77
12412.36,0.00,0.00,0.00,3.61
12439.19,0.00,0.00,0.00,3.00
12466.02,0.00,0.00,0.00,2.40
12492.85,0.00,0.00,0.00,1.79
12519.68,0.00,0.00,0.00,0.94
12546.51,0.00,0.00,0.00,0.08
12573.34,0.00,0.00,0.00,0.04
12600.17,0.00,0.00,0.00,0.00
12627.00,0.00,0.00,0.00,0.06
12653.83,0.00,0.00,0.00,0.12
12680.66,0.00,0.00,0.00,0.18
12707.49,0.00,0.00,0.00,0.20
12734.32,0.00,0.00,0.00,0.21
12761.15,0.00,0.00,0.00,0.11
12787.98,0.00,0.00,0.00,0.00
12814.81,0.00,0.00,0.00,0.00
12841.64,0.00,0.00,0.00,0.00
12868.47,0.00,0.00,0.00,0.05
12895.30,0.00,0.00,0.00,0.10
12922.13,0.00,0.00,0.00,0.16
12948.96,0.00,0.00,0.00,0.12
12975.79,0.00,0.00,0.00,0.09
13002.62,0.00,0.00,0.00,0.05
13029.45,0.00,0.00,0.00,0.00
13056.28,0.00,0.00,0.00,0.99
13083.11,0.00,0.00,0.00,1.99
13109.94,0.00,0.00,0.00,3.22
13136.77,0.00,0.00,0.00,4.46
13163.60,0.00,0.00,0.00,5.69
13190.43,0.00,0.00,0.00,8.08
13217.26,0.00,0.00,0.00,10.46
13244.09,0.00,0.00,0.00,12.63
13270.92,0.00,0.00,0.00,14.81
13297.75,0.00,0.00,0.00,16.02
13324.58,0.00,0.00,0.00,17.24
13351.41,0.00,0.00,0.00,18.45
13378.24,0.00,0.00,0.00,19.93
13405.07,0.00,0.00,0.00,21.41
13431.90,0.00,0.00,0.00,22.20
13458.73,0.00,0.00,0.00,23.00
13485.56,0.00,0.00,0.00,23.24
13512.39,0.00,0.00,0.00,23.49
13539.22,0.00,0.00,0.00,23.67
13566.05,0.00,0.00,0.00,23.84
13592.88,0.00,0.00,0.00,24.02
13619.71,0.00,0.00,0.00,24.35
13646.54,0.00,0.00,0.00,24.68
13673.37,0.00,0.00,0.00,24.73
13700.20,0.00,0.00,0.00,24.78
13727.03,0.00,0.00,0.00,24.71
13753.86,0.00,0.00,0.00,24.64
13780.69,0.00,0.00,0.00,24.58
13807.52,0.00,0.00,0.00,24.82
13834.36,0.00,0.00,0.00,25.06
13861.19,0.00,0.00,0.00,25.72
13888.02,0.00,0.00,0.00,26.38
13914.85,0.00,0.00,0.00,26.95
13941.68,0.00,0.00,0.00,27.52
13968.51,0.00,0.00,0.00,27.59
13995.34,0.00,0.00,0.00,27.67
14022.17,0.00,0.00,0.00,27.74
14049.00,0.00,0.00,0.00,27.48
14075.83,0.00,0.00,0.00,27.21
14102.66,0.00,0.00,0.00,26.61
14129.49,0.00,0.00,0.00,26.01
14156.32,0.00,0.00,0.00,24.87
14183.15,0.00,0.00,0.00,23.73
14209.98,0.00,0.00,0.00,22.65
14236.81,0.00,0.00,0.00,21.56
14263.64,0.00,0.00,0.00,20.47
14290.47,0.00,0.00,0.00,18.86
14317.30,0.00,0.00,0.00,17.25
14344.13,0.00,0.00,0.00,16.36
14370.96,0.00,0.00,0.00,15.48
14397.79,0.00,0.00,0.00,15.56
14424.62,0.00,0.00,0.00,15.64
14451.45,0.00,0.00,0.00,15.73
14478.28,0.00,0.00,0.00,16.14
14505.11,0.00,0.00,0.00,16.54
14531.94,0.00,0.00,0.00,16.21
14558.77,0.00,0.00,0.00,15.87
14585.60,0.00,0.00,0.00,15.16
14612.43,0.00,0.00,0.00,14.44
14639.26,0.00,0.00,0.00,14.37
14666.09,0.00,0.00,0.00,14.29
14692.92,0.00,0.00,0.00,14.22
14719.75,0.00,0.00,0.00,14.29
14746.58,0.00,0.00,0.00,14.36
14773.41,0.00,0.00,0.00,13.70
14800.24,0.00,0.00,0.00,13.04
14827.07,0.00,0.00,0.00,12.47
14853.90,0.00,0.00,0.00,11.89
14880.73,0.00,0.00,0.00,11.32
14907.56,0.00,0.00,0.00,11.44
14934.39,0.00,0.00,0.00,11.56
14961.22,0.00,0.00,0.00,12.73
14988.05,0.00,0.00,0.00,13.91
15014.88,0.00,0.00,0.00,15.03
15041.71,0.00,0.00,0.00,16.16
15068.54,0.00,0.00,0.00,16.26
15095.37,0.00,0.00,0.00,16.37
15122.20,0.00,0.00,0.00,16.47
15149.03,0.00,0.00,0.00,15.99
15175.86,0.00,0.00,0.00,15.51
15202.69,0.00,0.00,0.00,15.22
15229.52,0.00,0.00,0.00,14.93
15256.35,0.00,0.00,0.00,15.00
15283.18,0.00,0.00,0.00,15.07
15310.01,0.00,0.00,0.00,15.23
15336.84,0.00,0.00,0.00,15.38
15363.67,0.00,0.00,0.00,15.53
15390.50,0.00,0.00,0.00,15.88
15417.33,0.00,0.00,0.00,16.23
15444.16,0.00,0.00,0.00,16.35
15470.99,0.00,0.00,0.00,16.47
15497.82,0.00,0.00,0.00,16.08
15524.65,0.00,0.00,0.00,15.69
15551.48,0.00,0.00,0.00,15.30
15578.31,0.00,0.00,0.00,14.60
15605.14,0.00,0.00,0.00,13.90
15631.97,0.00,0.00,0.00,13.97
15658.80,0.00,0.00,0.00,14.04
15685.63,0.00,0.00,0.00,14.36
15712.46,0.00,0.00,0.00,14.67
15739.29,0.00,0.00,0.00,14.39
15766.12,0.00,0.00,0.00,14.12
15792.96,0.00,0.00,0.00,13.84
15819.79,0.00,0.00,0.00,13.13
15846.62,0.00,0.00,0.00,12.42
15873.45,0.00,0.00,0.00,12.21
15900.28,0.00,0.00,0.00,12.00
15927.11,0.00,0.00,0.00,11.99
15953.94,0.00,0.00,0.00,11.97
15980.77,0.00,0.00,0.00,11.96
16007.60,0.00,0.00,0.00,11.80
16034.43,0.00,0.00,0.00,11.63
16061.26,0.00,0.00,0.00,11.78
16088.09,0.00,0.00,0.00,11.93
16114.92,0.00,0.00,0.00,12.40
16141.75,0.00,0.00,0.00,12.87
16168.58,0.00,0.00,0.00,13.01
16195.41,0.00,0.00,0.00,13.16
16222.24,0.00,0.00,0.00,13.30
16249.07,0.00,0.00,0.00,13.19
16275.90,0.00,0.00,0.00,13.08
16302.73,0.00,0.00,0.00,12.79
16329.56,0.00,0.00,0.00,12.49
16356.39,0.00,0.00,0.00,11.76
16383.22,0.00,0.00,0.00,11.02
16410.05,0.00,0.00,0.00,10.30
16436.88,0.00,0.00,0.00,9.57
16463.71,0.00,0.00,0.00,8.84
16490.54,0.00,0.00,0.00,8.13
16517.37,0.00,0.00,0.00,7.42
16544.20,0.00,0.00,0.00,7.76
16571.03,0.00,0.00,0.00,8.09
16597.86,0.00,0.00,0.00,8.89
16624.69,0.00,0.00,0.00,9.68
16651.52,0.00,0.00,0.00,10.47
16678.35,0.00,0.00,0.00,11.37
16705.18,0.00,0.00,0.00,12.27
16732.01,0.00,0.00,0.00,11.86
16758.84,0.00,0.00,0.00,11.46
16785.67,0.00,0.00,0.00,10.23
16812.50,0.00,0.00,0.00,8.99
16839.33,0.00,0.00,0.00,8.58
16866.16,0.00,0.00,0.00,8.16
16892.99,0.00,0.00,0.00,7.75
16919.82,0.00,0.00,0.00,8.04
16946.65,0.00,0.00,0.00,8.34
16973.48,0.00,0.00,0.00,8.48
17000.31,0.00,0.00,0.00,8.61
17027.14,0.00,0.00,0.00,8.10
17053.97,0.00,0.00,0.00,7.59
17080.80,0.00,0.00,0.00,7.08
17107.63,0.00,0.00,0.00,5.70
17134.46,0.00,0.00,0.00,4.32
17161.29,0.00,0.00,0.00,3.09
17188.12,0.00,0.00,0.00,1.85
17214.95,0.00,0.00,0.00,1.45
17241.78,0.00,0.00,0.00,1.06
17268.61,0.00,0.00,0.00,1.25
17295.44,0.00,0.00,0.00,1.43
17322.27,0.00,0.00,0.00,1.62
17349.10,0.00,0.00,0.00,1.96
17375.93,0.00,0.00,0.00,2.30
17402.76,0.00,0.00,0.00,2.84
17429.59,0.00,0.00,0.00,3.38
17456.42,0.00,0.00,0.00,4.35
17483.25,0.00,0.00,0.00,5.33
17510.08,0.00,0.00,0.00,5.71
17536.91,0.00,0.00,0.00,6.08
17563.74,0.00,0.00,0.00,6.46
17590.57,0.00,0.00,0.00,5.99
17617.40,0.00,0.00,0.00,5.53
17644.23,0.00,0.00,0.00,4.87
17671.06,0.00,0.00,0.00,4.22
17697.89,0.00,0.00,0.00,4.11
17724.72,0.00,0.00,0.00,4.01
17751.55,0.00,0.00,0.00,3.91
17778.38,0.00,0.00,0.00,3.72
17805.21,0.00,0.00,0.00,3.53
17832.04,0.00,0.00,0.00,3.14
17858.87,0.00,0.00,0.00,2.75
17885.71,0.00,0.00,0.00,2.73
17912.54,0.00,0.00,0.00,2.71
17939.37,0.00,0.00,0.00,2.85
17966.20,0.00,0.00,0.00,2.98
17993.03,0.00,0.00,0.00,3.12
18019.86,0.00,0.00,0.00,2.85
18046.69,0.00,0.00,0.00,2.59
18073.52,0.00,0.00,0.00,1.86
18100.35,0.00,0.00,0.00,1.14
18127.18,0.00,0.00,0.00,0.76
18154.01,0.00,0.00,0.00,0.38
18180.84,0.00,0.00,0.00,0.00
18207.67,0.00,0.00,0.00,0.00
18234.50,0.00,0.00,0.00,0.00
18261.33,0.00,0.00,0.00,0.00
18288.16,0.00,0.00,0.00,0.00
18314.99,0.00,0.00,0.00,0.00
18341.82,0.00,0.00,0.00,0.00
18368.65,0.00,0.00,0.00,-0.49
18395.48,0.00,0.00,0.00,-0.97
18422.31,0.00,0.00,0.00,-1.46
18449.14,0.00,0.00,0.00,-1.95
18475.97,0.00,0.00,0.00,-2.44
18502.80,0.00,0.00,0.00,-2.22
18529.63,0.00,0.00,0.00,-2.00
18556.46,0.00,0.00,0.00,-1.32
18583.29,0.00,0.00,0.00,-0.65
18610.12,0.00,0.00,0.00,-0.43
18636.95,0.00,0.00,0.00,-0.22
18663.78,0.00,0.00,0.00,0.00
18690.61,0.00,0.00,0.00,-0.23
18717.44,0.00,0.00,0.00,-0.45
18744.27,0.00,0.00,0.00,-1.41
18771.10,0.00,0.00,0.00,-2.37
18797.93,0.00,0.00,0.00,-2.96
18824.76,0.00,0.00,0.00,-3.55
18851.59,0.00,0.00,0.00,-4.14
18878.42,0.00,0.00,0.00,-4.25
18905.25,0.00,0.00,0.00,-4.37
18932.08,0.00,0.00,0.00,-4.20
18958.91,0.00,0.00,0.00,-4.04
18985.74,0.00,0.00,0.00,-4.62
19012.57,0.00,0.00,0.00,-5.21
19039.40,0.00,0.00,0.00,-6.02
19066.23,0.00,0.00,0.00,-6.82
19093.06,0.00,0.00,0.00,-7.63
19119.89,0.00,0.00,0.00,-8.43
19146.72,0.00,0.00,0.00,-9.22
19173.55,0.00,0.00,0.00,-9.29
19200.38,0.00,0.00,0.00,-9.36
19227.21,0.00,0.00,0.00,-9.23
19254.04,0.00,0.00,0.00,-9.10
19280.87,0.00,0.00,0.00,-8.97
19307.70,0.00,0.00,0.00,-8.75
19334.53,0.00,0.00,0.00,-8.53
19361.36,0.00,0.00,0.00,-8.27
19388.19,0.00,0.00,0.00,-8.01
19415.02,0.00,0.00,0.00,-7.93
19441.85,0.00,0.00,0.00,-7.85
19468.68,0.00,0.00,0.00,-8.16
19495.51,0.00,0.00,0.00,-8.46
19522.34,0.00,0.00,0.00,-8.76
19549.17,0.00,0.00,0.00,-9.61
19576.00,0.00,0.00,0.00,-10.46
19602.83,0.00,0.00,0.00,-11.03
19629.66,0.00,0.00,0.00,-11.60
19656.49,0.00,0.00,0.00,-11.55
19683.32,0.00,0.00,0.00,-11.50
19710.15,0.00,0.00,0.00,-11.35
19736.98,0.00,0.00,0.00,-11.20
19763.81,0.00,0.00,0.00,-11.05
19790.64,0.00,0.00,0.00,-11.11
19817.47,0.00,0.00,0.00,-11.17
19844.30,0.00,0.00,0.00,-11.55
19871.13,0.00,0.00,0.00,-11.94
19897.96,0.00,0.00,0.00,-12.30
19924.79,0.00,0.00,0.00,-12.66
19951.62,0.00,0.00,0.00,-13.03
19978.46,0.00,0.00,0.00,-13.38
20005.29,0.00,0.00,0.00,-13.73
20032.12,0.00,0.00,0.00,-13.39
20058.95,0.00,0.00,0.00,-13.04
20085.78,0.00,0.00,0.00,-11.95
20112.61,0.00,0.00,0.00,-10.85
20139.44,0.00,0.00,0.00,-9.94
20166.27,0.00,0.00,0.00,-9.03
20193.10,0.00,0.00,0.00,-8.12
20219.93,0.00,0.00,0.00,-6.97
20246.76,0.00,0.00,0.00,-5.83
20273.59,0.00,0.00,0.00,-5.28
20300.42,0.00,0.00,0.00,-4.72
20327.25,0.00,0.00,0.00,-4.79
20354.08,0.00,0.00,0.00,-4.87
20380.91,0.00,0.00,0.00,-4.94
20407.74,0.00,0.00,0.00,-5.31
20434.57,0.00,0.00,0.00,-5.69
20461.40,0.00,0.00,0.00,-5.93
20488.23,0.00,0.00,0.00,-6.17
20515.06,0.00,0.00,0.00,-6.25
20541.89,0.00,0.00,0.00,-6.33
20568.72,0.00,0.00,0.00,-6.29
20595.55,0.00,0.00,0.00,-6.26
20622.38,0.00,0.00,0.00,-6.23
20649.21,0.00,0.00,0.00,-6.18
20676.04,0.00,0.00,0.00,-6.13
20702.87,0.00,0.00,0.00,-6.31
20729.70,0.00,0.00,0.00,-6.48
20756.53,0.00,0.00,0.00,-6.57
20783.36,0.00,0.00,0.00,-6.66
20810.19,0.00,0.00,0.00,-6.21
20837.02,0.00,0.00,0.00,-5.76
20863.85,0.00,0.00,0.00,-5.30
20890.68,0.00,0.00,0.00,-3.88
20917.51,0.00,0.00,0.00,-2.46
20944.34,0.00,0.00,0.00,-1.31
20971.17,0.00,0.00,0.00,-0.17
20998.00,0.00,0.00,0.00,-0.12
21024.83,0.00,0.00,0.00,-0.06
21051.66,0.00,0.00,0.00,0.00
21078.49,0.00,0.00,0.00,-0.04
21105.32,0.00,0.00,0.00,-0.07
21132.15,0.00,0.00,0.00,-0.04
21158.98,0.00,0.00,0.00,0.00
21185.81,0.00,0.00,0.00,0.00
21212.64,0.00,0.00,0.00,0.00
21239.47,0.00,0.00,0.00,0.00
21266.30,0.00,0.00,0.00,0.00
21293.13,0.00,0.00,0.00,0.00
21319.96,0.00,0.00,0.00,0.00
21346.79,0.00,0.00,0.00,0.00
21373.62,0.00,0.00,0.00,0.00
21400.45,0.00,0.00,0.00,0.00
21427.28,0.00,0.00,0.00,0.00
21454.11,0.00,0.00,0.00,0.00
21480.94,0.00,0.00,0.00,0.00
21507.77,0.00,0.00,0.00,0.43
21534.60,0.00,0.00,0.00,0.86
21561.43,0.00,0.00,0.00,1.06
21588.26,0.00,0.00,0.00,1.26
21615.09,0.00,0.00,0.00,1.68
21641.92,0.00,0.00,0.00,2.09
21668.75,0.00,0.00,0.00,2.40
21695.58,0.00,0.00,0.00,2.70
21722.41,0.00,0.00,0.00,3.00
21749.24,0.00,0.00,0.00,2.73
21776.07,0.00,0.00,0.00,2.46
21802.90,0.00,0.00,0.00,1.58
21829.73,0.00,0.00,0.00,0.70
21856.56,0.00,0.00,0.00,0.35
21883.40,0.00,0.00,0.00,0.00
21910.23,0.00,0.00,0.00,0.12
21937.06,0.00,0.00,0.00,0.24
21963.89,0.00,0.00,0.00,0.36
21990.72,0.00,0.00,0.00,0.47
22017.55,0.00,0.00,0.00,0.58
22044.38,0.00,0.00,0.00,0.45
22071.21,0.00,0.00,0.00,0.32
22098.04,0.00,0.00,0.00,0.50
22124.87,0.00,0.00,0.00,0.68
22151.70,0.00,0.00,0.00,0.86
22178.53,0.00,0.00,0.00,1.62
22205.36,0.00,0.00,0.00,2.39
